Name
Nicolás Formido
E. Cerutti
R. De Paul
Kléber
Ewerton
J. Gustaldo
M. Meñarez
Rafael
Diego
C. Sortomayrés
Ryder
M. Larrondo
J. Urretaviscaya
L. Melgarejo
J. Ortiz
A. Plata
L. Ulloa
R. Mora
R. Botta
J. Forlín
J. Fernandes
P. Gallese
Mauro
Júnior Caiçara
G. Sara
R. Ribagaso
Victorino Magela
G. Lo Celso
D. Bocanegra
Adrianiscito
D. Stracqualursi
M. Galvarado
M. Salcatorini
Dentinho
L. Romagnoli
A. Jelverado
P. Ketlun
D. Lezcano
K. Moncora
Padilhisco
F. Jara
Gabrìel
G. Burdisso
Rodrigo Ely
M. Benítez
J. Herrera
M. Velázquez
Jesus Andradaldo
M. Peñazco
L. Quiñones
F. Uribe
G. Suleziano
A. Cubas
Léo Matos
J. Guerredero
M. Díaz
J. Fuenzalida
A. Desenda
J. Méndez
L. Pocrnjic
Bobô
G. Gutierrez
V. Albarado
D. González
Édundo Oliveira
F. Ricca
Enaldo Toxeto
Edmilson Junior
Gabriel Boschilia
Richarlison
D. Pérez
Brenito Duarte
O. Ustari
Johnathan
N. Acevedo
C. Carbonero
J. Lucero
S. Vergini
M. Rocora
Pietrson Mendes
H. Donadell
Rafael Martins
J. Furch
F. Silva
Jaim Abra
Lucas Piazon
M. Uribe
Freder Cabral
D. Barreto
Rodrigo Galo
J. Correa
L. Jara
G. Fernández
Dodô
R. Noir
M. Bolaños
R. Dartés
Elias Fontoira
M. Urruti
M. Caire
Marcos Paneira
G. Alcoba
E. Kalinski
N. Sánchez
Lucas Lima
Somália
M. Santos
S. Ascacibar
Muriel
Juli Piresinho
Vinicius Cardenha
H. Gombez
E. Benítez
M. Rovero
Wellington Sabrão
A. Rojas
G. Fabianos
G. Fernández
Osvaldo Lodeiro
E. Muñoz
O. Martínez
D. Senderón
Fabiano Sonta
F. Díaz
Ailton Valpaços
D. Florada
M. Fritzler
D. Montenegro
S. García
J. Fabbro
André Ramalho
J. Duque
Jorge Carvallinho
J. Moreira
D. Escalonas
Welinton
Robson Denho
J. Gandolfi
G. Hauche
M. Coldado
M. Banguera
A. Andrade
Pedro Rocha
Samir
Gérson Noalha
Bernardo
O. Vizcarrondo
M. Gómez
F. Coloccini
D. Silva
A. Rodríguez
J. Palomino
C. Mayada
S. Barreiro
Gus Outomouro
F. Sambueza
F. Rinaudo
A. Barboza
F. Santander
Leandro Vivenço
A. Ramírez
J. Cuero
Roni
A. Donatti
M. Barrios
M. Oyola
G. Rodríguez
Tiago
M. Meza
W. Segrado
E. Pulgar
H. Menosse
Assis
A. Roa
J. Arango
W. Faríñez
J. Mercier
Benjamin Meseira
A. Rodríguez
M. Celtejo
Gustavo Lobateiro
J. García
Charles
F. Cerro
A. Mosquera
Evandro Rochedo
M. Sperduti
D. Cure
L. Chichizola
Michel Cruceiro
D. Quintero
M. Jimañez
Luiz Araújo
C. Santos
F. Hinestroza
Marlon Santos
A. Marelos
O. Estupiñán
B. Peñena
D. Arias
J. Aterola
Paulinho
W. Erviti
L. Janson
J. Zúñiga
E. Del Carro
M. Guidaros
D. Machado
D. Villalva
R. Mantores
L. Castellanos
Danilo Avelar
J. Alonso
Lulinha
P. Candiyana
Pierrino Faria
F. Tobio
R. Henriques
Nivo Serpinho
L. Villafañez
E. Madrez
Evandro
A. del Valle
Hernani
J. Dorlans
M. Rancoret
J. Plata
D. Segoviniozo
L. Goterio
Oswaldito Cuba
D. Musto
Douglas Luiz
J. Ermeño
D. Rodríguez
L. Lollo
P. Chavarría
Ademilson
F. Zampedri
J. Insaurralde
J. Gutiérrez
D. Novaretti
O. Alderete
H. Ejeda
Luccas Claro
B. Alemán
Juninho
S. Dubarbier
Patrick
Ailton
V. Ayala
Heitinho Zanon
A. Silva
Guilherme
N. Domínguez
D. Ballega
Paolito Serra
W. Ángel
B. Leitoñez
M. Cauteruccio
C. Maidana
S. Romero
J. Benítez
C. Carmona
Michildo Melo
C. Alemán
R. Tapia
O. Jonia
M. Echeberria
M. Candelo
V. Ibarbo
Miltisco Paulino
M. Iturra
G. Bettini
L. Parreses
L. Albertengo
B. Fernández
M. Pavone
Lyanco
M. Moreno
N. Aguirre
Otávinho Vila
L. Muñezal
Rubem Esteiro
Timo Triano
G. Silva
G. Naballoz
S. Vittor
J. Senparabia
Pimentiscinho
D. Riascos
F. Barrientos
J. Oyarcan
Diego Galo
E. Ponce
A. Candelo
Rômulo Calsede
S. Ricuelme
D. Buitrago
Porphirinho
G. Núñez
Bruno Santos
O. Pérez
F. Iturrado
Alessinito
E. Cubildas
L. Martínez
Jonathan Cafú
R. Latorres
J. Galván
A. Henríquez
N. Aguileda
Leordinho Paes
M. Meli
A. Perosas
H. Henao
N. Gorosito
M. Estigarribia
Adriano Facchini
A. Callens
Vanderlei Cõembra
M. Arguinarena
J. Rodríguez
A. Romero Gamarra
A. Cadavid
Estevão Candeira
A. Faurlín
C. Campestrini
A. Mena
Jairinhazo
Jessé Ledeiro
Douglas Armeira
J. Rozalas
C. Espinoza
Paulo Henrique
I. Bosquedo
Adrián Burnabão
J. Fernández
L. Desábato
D. Dueña
C. Domínguez
Kenedy
M. Moralez
Ismael
L. Boyé
B. Cespeda
G. Denis
R. Ovelar
L. Jiménez
Luciano
Claiton
G. Espinoza
R. Labral
A. Pandaña
João Schmidt
A. Silva
L. Ardente
D. Andrade
I. Parraz
F. Aguilar
Clayton Fildeiras
E. Soto
Bruno Uvini
Juliano Mascarinhas
Elsinho
Paulao Junqueiras
G. Achilier
W. Camacho
F. Meza
Philipe Sampaio
D. Banguero
B. Valdez
Nilsito Vilela
C. Pinares
B. Dunavante
João Bruiñeira
Crislan
M. Goicoechea
A. Pérez
E. Arango
R. Casirón
N. Bertolo
J. Murillo
F. Lecarnado
Carleto Costinha
Rodolfo
P. Álvarez
Mauro Riboas
Y. Gordillo
Rafael Defendi
A. Mina
Santi da Bruma
Thiago Alminxa
D. Rodríguez
Douglas
D. Álvarez
C. Ramírez
Cristian Lodeira
J. Darenova
Walter Silvieiro
Cauê
